,0
0,9.931207864860111
1,10.173342516502448
2,10.325843405889385
3,10.436599685769838
4,10.563136606212957
5,10.548932919353359
6,10.460615176256795
7,10.38099291750309
8,10.224917832085087
9,10.22289942138479
10,10.47063983764799
11,10.472680658185284
12,10.388398113311643
13,10.321200723620994
14,10.296974904357146
15,10.4035372890675
16,10.40550570882826
17,10.593899323871387
18,10.719030318319785
19,10.695345896722902
20,11.029223819727168
21,10.850833737067568
22,11.003221215214475
23,10.753339440445487
24,10.814556420969838
25,10.798790475618155
26,10.7093837588906
27,10.705643994820607
28,10.921526119351023
29,10.946631449534571
30,10.811684619444186
31,11.055132783946933
32,10.989278932651377
33,11.01029508332835
34,11.33424298811738
35,11.18447228806604
36,11.26071691424759
37,11.250974703151101
38,10.98693898867253
39,10.915228475090197
40,11.221345533533176
41,11.27413042965103
42,11.326647693690026
43,10.995436486052373
44,11.278174893890709
45,11.09621895248285
46,11.295394585412621
47,11.346415045061494
48,11.231499224317618
49,11.08814523390649
50,11.100072551573206
51,11.2244048131829
52,11.206630045507156
53,11.346336335031964
54,11.324214074842748
55,11.368389715183245
56,11.249616508569257
57,11.13773600497186
58,11.217117414118398
59,11.142287558289548
60,11.191275819316228
61,10.981560312614844
62,11.142771056896432
63,11.171722640994439
64,11.056822709236027
65,11.230950153937114
66,11.03758238614188
67,10.978617310852698
68,10.723229370557558
69,10.735565489189579
70,10.697518015966343
71,10.680872289615007
72,10.795398087898507
73,11.052218271926924
74,10.988798115334466
75,10.983880817583788
76,10.954050741394441
77,11.0713302576404
78,11.347452052399685
79,11.586800806350627
80,11.4817357696359
81,11.14823353718068
82,11.19602593659651
83,10.979398224463473
84,11.19940819618036
85,11.272440813164962
86,11.039251913918207
87,10.857921465787388
88,10.74999214169264
89,10.59865735075353
90,10.491335458934895
91,10.396279517131134
92,10.564876124893932
93,10.539921938507607
94,10.36986420381557
95,10.396657550986767
96,10.455489563358585
97,10.461567724001577
98,10.312014088320504
99,10.480438737502029
100,10.425385205559728
101,10.489406533217199
102,10.39145313915241
103,10.557978539170056
104,10.545200580592413
105,10.742631143281194
106,10.56747589831339
107,10.599984161210902
108,10.760292108126336
109,10.590879730875484
110,10.505594469912849
111,10.54836541758214
112,10.68776344336348
113,10.58046469096963
114,10.404739551615767
115,10.300954362118937
116,10.204773976693446
117,10.037811035583937
118,9.962419401425823
119,10.069044410576389
120,10.198633152493962
121,10.110129081970072
122,10.292735701010244
123,10.410765758957748
124,10.52044662986602
125,10.473920067843778
126,10.31857685918455
127,10.34708125127186
128,10.345262203013736
129,10.335195669065325
130,10.235885279482444
131,10.143473473522153
132,10.142316385094487
133,10.118948213631656
134,10.397832712367187
135,10.283675691496295
136,10.348349557322685
137,10.387388620766353
138,10.463404368651126
139,10.768812658531882
140,10.852990787762932
141,11.175496932500007
142,11.004951866481782
143,11.17729433381303
144,11.191356009306864
145,11.296283645961793
146,11.169533710139948
147,11.292994688393312
148,11.068165761034416
149,10.869942503373046
150,10.995642324452886
151,10.707374020366075
152,10.4353510257587
153,10.523832920510412
154,10.4688779507463
155,10.319774609164687
156,10.260636220514098
157,10.236778678165505
158,10.300324811656857
159,10.4553899989345
160,10.302714005129104
161,10.582184693514103
162,10.538874076515647
163,10.367099353534432
164,10.415469848284971
165,10.113033200153199
166,10.052195737106945
167,10.035090661868779
168,10.143390184915877
169,10.150911670755328
170,9.999129969034552
171,9.99099635799232
172,10.09215161584805
173,10.203928200405876
174,9.923095749308859
175,10.140135352420723
176,10.097081633963935
177,10.18782019234094
178,10.300969075936965
179,10.287628338389583
180,10.219322713680818
181,10.107264927476479
182,9.856405477582918
183,9.707764042028655
184,9.738975593256638
185,9.571985764569682
186,9.523186567326494
187,9.561500332714788
188,9.61717509028285
189,9.760610681395116
190,10.074137783343907
191,10.258523448080153
192,10.343739473559951
193,10.37415933506437
194,10.491319822230036
195,10.44376862432578
196,10.577192119956031
197,10.694176838550868
198,10.596965446572593
199,10.668278643865412
200,10.789682139876515
201,11.041666157729118
202,11.198617754024783
203,11.177774094983333
204,11.168256341479317
205,10.884544099371592
206,10.820734813487467
207,10.717522529238725
208,10.807133880181274
209,10.866065610805082
210,11.016056226003887
211,10.943350369623024
212,10.94999152236035
213,11.131589289458413
214,11.106881156080895
215,11.297010544550638
216,11.46733396669763
217,11.555922855228037
218,11.390843801883923
219,11.526505926199203
220,11.4668373002145
221,11.437714484660969
222,11.301902944994035
223,11.185302809668997
224,10.962670626791077
225,10.99545082593901
226,10.861830734143954
227,10.85992932138316
228,10.636594164747388
229,10.726760077458582
230,10.618937996274818
231,10.529133961233866
232,10.519353515604447
233,10.733751241541452
234,10.81147779834277
235,10.899275258007805
236,10.953783325229214
237,10.940832442741765
238,10.945144007898298
239,10.95598451302003
240,11.054455590221586
241,10.907705770486938
242,10.960731822128249
243,10.760175861465186
244,10.950869216401749
245,11.031139067962963
246,11.196388914610814
247,11.08861861231792
248,10.813389554131831
249,10.690791979303818
250,10.701649342620597
251,10.573891080669176
